,10015045,10454944,11921961,27053186,32536801,32879395,42174859,44269012,44311302,48707187,51903093,52122378,54696417,55631712,55673660,57721847,58840899,59477024,63077764,64231904,64669608,66401362,68783210,69576455,73342638,74791225,78543018,78602687,80659889,81277462,82892660,84882758,85219118,86522114,94337070,95350384,96970735,97376654,101437726,102548101,102579081,104004549,106009252,114262343,118723154,118823531,119301334,122450311,127100803,132077835,132428789,133340034,135286430,137252115,137784015,138228125,140962408,143755571,144028429,147006315,151800458,152714429,155006919,155682020,161355263,166356602,171743803,177123098,182396385,185626886,191425047,208584850,212521279,221887651,222490251,225812577,258430705,280363193,326734028,373044930
10015045,14.0,6.0,0.0,3.0,7.0,10.0,0.0,2.0,9.0,11.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,10.0,0.0,11.0,11.0,0.0,7.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,10.0,0.0,12.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,12.0,6.0,13.0,3.0,0.0,11.0,6.0,6.0,12.0,0.0,7.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,6.0,3.0,2.0,0.0,11.0
10454944,6.0,9.0,0.0,4.0,8.0,6.0,0.0,4.0,7.0,8.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,7.0,0.0,8.0,7.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,8.0,0.0,8.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,6.0,5.0,8.0,3.0,0.0,6.0,7.0,2.0,8.0,0.0,7.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,7.0
11921961,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27053186,3.0,4.0,0.0,5.0,5.0,4.0,0.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,5.0,0.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,3.0,5.0,4.0,0.0,3.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,4.0
32536801,7.0,8.0,0.0,5.0,21.0,12.0,0.0,4.0,19.0,18.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,15.0,0.0,17.0,17.0,0.0,5.0,0.0,0.0,0.0,4.0,10.0,13.0,0.0,12.0,0.0,20.0,3.0,0.0,14.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,15.0,0.0,18.0,7.0,4.0,15.0,8.0,0.0,7.0,13.0,2.0,10.0,0.0,13.0,14.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,2.0,0.0,11.0,0.0,0.0,9.0,3.0,3.0,3.0,0.0,11.0
32879395,10.0,6.0,0.0,4.0,12.0,28.0,0.0,5.0,17.0,25.0,0.0,0.0,7.0,0.0,5.0,0.0,5.0,17.0,0.0,20.0,20.0,0.0,14.0,0.0,0.0,0.0,7.0,10.0,17.0,0.0,13.0,0.0,25.0,2.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,16.0,12.0,6.0,15.0,8.0,0.0,12.0,11.0,2.0,13.0,0.0,10.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,1.0,0.0,9.0,0.0,0.0,7.0,5.0,4.0,2.0,0.0,16.0
42174859,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,6.0,4.0,3.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44269012,2.0,4.0,0.0,3.0,4.0,5.0,0.0,5.0,4.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,5.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,2.0,3.0,4.0,0.0,2.0,4.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,5.0
44311302,9.0,7.0,0.0,4.0,19.0,17.0,0.0,4.0,28.0,23.0,0.0,0.0,10.0,0.0,5.0,0.0,3.0,21.0,0.0,22.0,21.0,0.0,9.0,0.0,0.0,0.0,5.0,10.0,16.0,0.0,13.0,0.0,26.0,3.0,0.0,14.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,17.0,0.0,23.0,10.0,7.0,18.0,11.0,0.0,10.0,15.0,3.0,12.0,0.0,14.0,17.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,2.0,0.0,12.0,0.0,0.0,11.0,4.0,4.0,3.0,0.0,16.0
